epoch,loss,accuracy,val_loss,val_accuracy,learning_rate
1,1.0298177003860474,0.48970457911491394,1.1009942293167114,0.2928571403026581,0.0010000000474974513
2,0.845151424407959,0.6938227415084839,1.1087865829467773,0.2928571403026581,0.0010000000474974513
3,0.71690833568573,0.7520143389701843,1.1346598863601685,0.2928571403026581,0.0010000000474974513
4,0.6190129518508911,0.796777069568634,1.1630053520202637,0.2928571403026581,0.0010000000474974513
5,0.550258994102478,0.8030438423156738,1.1798137426376343,0.2928571403026581,0.0010000000474974513
6,0.5006397366523743,0.8209489583969116,1.1534156799316406,0.3571428656578064,0.0005000000237487257
7,0.46718963980674744,0.8307967782020569,1.1415934562683105,0.5571428537368774,0.0005000000237487257
8,0.45957714319229126,0.8424351215362549,1.1576694250106812,0.5642856955528259,0.0005000000237487257
9,0.442200243473053,0.837958812713623,1.1552656888961792,0.5642856955528259,0.0005000000237487257
10,0.43153467774391174,0.849597156047821,1.1382057666778564,0.5714285969734192,0.0002500000118743628
11,0.42287883162498474,0.8424351215362549,1.1044272184371948,0.5571428537368774,0.0002500000118743628
12,0.4129980206489563,0.8504924178123474,1.0499693155288696,0.5642856955528259,0.0002500000118743628
13,0.41148310899734497,0.8603401780128479,0.9688100814819336,0.6642857193946838,0.0002500000118743628
14,0.39914995431900024,0.863025963306427,0.9279958605766296,0.6785714030265808,0.0002500000118743628
15,0.3936704695224762,0.8549686670303345,0.8939595222473145,0.6785714030265808,0.0002500000118743628
16,0.39197224378585815,0.8594449162483215,0.8786361217498779,0.6928571462631226,0.0002500000118743628
17,0.39157894253730774,0.8576544523239136,0.8469998240470886,0.6785714030265808,0.0002500000118743628
18,0.38800927996635437,0.8522828817367554,0.8208716511726379,0.6428571343421936,0.0002500000118743628
19,0.39137405157089233,0.8540734052658081,0.8487708568572998,0.6571428775787354,0.0002500000118743628
20,0.384487509727478,0.8621307015419006,0.830109179019928,0.6714285612106323,0.0002500000118743628
21,0.371253103017807,0.8648164868354797,0.834691047668457,0.6285714507102966,0.0002500000118743628
22,0.3642827570438385,0.8675022125244141,0.8329773545265198,0.6000000238418579,0.0002500000118743628
23,0.3753513693809509,0.851387619972229,0.8304789066314697,0.6000000238418579,0.0001250000059371814
24,0.3685939610004425,0.8683974742889404,0.8354593515396118,0.5928571224212646,0.0001250000059371814
25,0.3610045313835144,0.8701879978179932,0.8336378931999207,0.6000000238418579,0.0001250000059371814
26,0.36043643951416016,0.8657117486000061,0.8324279189109802,0.6000000238418579,0.0001250000059371814
27,0.3611520230770111,0.8657117486000061,0.8348677754402161,0.5857142806053162,6.25000029685907e-05
28,0.3675664961338043,0.8594449162483215,0.8364248871803284,0.5928571224212646,6.25000029685907e-05
29,0.35699203610420227,0.8666070103645325,0.840698778629303,0.5857142806053162,6.25000029685907e-05
30,0.36301741003990173,0.874664306640625,0.8418107628822327,0.5857142806053162,6.25000029685907e-05
