model,accuracy,macro_f1,TRINETRA_precision,TRINETRA_recall,TRINETRA_FRR,similar_false_accepts,background_false_accepts,natural_TRINETRA,synthetic_TRINETRA
Float32 TFLite,86.43%,86.53%,92.68%,70.37%,29.63%,1 / 41,2 / 41,10 / 26 (38.5%),28 / 28 (100.0%)
INT8 TFLite,87.14%,87.25%,92.86%,72.22%,27.78%,1 / 41,2 / 41,11 / 26 (42.3%),28 / 28 (100.0%)
